,RMSE error
mean,0.22359493562339874
VARMA RMSE (test),0.39466502057082437
VARMA RMSE (train),0.3788809776501621
VARMA RMSE,0.39340277333321827
ARIMA RMSE (test),0.3485980245034879
ARIMA RMSE (train),0.3320100209556866
ARIMA RMSE,0.33448006441844386
